Date,Target,Sector,Country,Transaction Type,Deal Value (USD/MLNS),Investor(s),Target_symbol,Investors_symbol,Target_Name_in_API,Investors_Name_in_API
2000-06-29,National Grid USA -  Ocean State Power (OSP) Plant,Utilities,United States,Divestiture,61,"TC Energy Corporation, 450 - 1 Street SW, Calgary, Alberta, T2P 5H1, Canada, (403) 920-2000, www.tcenergy.com",,TRP.TO,,TC Energy Corporation
2000-06-02,Petrolsoft Corporation,Software,United States,Add-on Acquisition,59.6,"Aspen Technology, Inc., 20 Crosby Drive, Bedford, Massachusetts, 01730, United States, (781) 221-6400, www.aspentech.com",,AZPN,,"Aspen Technology, Inc."
2000-07-12,"PaineWebber Group, Inc.",Financial Services,United States,Add-on Acquisition,10800,"UBS Group AG, Bahnhofstrasse 45 PO Box, Zurich, 8001, Switzerland, +41 44 234 11 11, www.ubs.com",,UBS,,UBS Group AG
2000-07-17,The Pillsbury Company LLC,Food,United States,Divestiture,10500,"General Mills, Inc. , Number 1 General Mills Boulevard, Minneapolis, Minnesota, 55426, United States, (763) 764-7600, www.generalmills.com",,GIS,,"General Mills, Inc."
2000-07-20,Aetna Financial Services,Insurance,United States,Add-on Acquisition,7700,"ING Groep N.V., Amsterdamse Poort, Bijlmerplein 888, Amsterdam, 1102 MG, Netherlands, +31 20 563 9111, www.ing.com",,ING,,ING Groep N.V.
2000-07-01,Ish - Germany,Media,Germany,Stake Purchase,5205,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-07-17,"IPALCO Enterprises, Inc.",Utilities,United States,Add-on Acquisition,2150,"The AES Corporation, 4300 Wilson Boulevard, 11th Floor, Arlington, Virginia, 22203, United States, (703) 522-1315, www.aes.com",,AES,,The AES Corporation
2000-07-01,"iPCS, Inc.",Communications,United States,Stake Purchase,330,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-07-01,Universal Orlando,Leisure,United States,"Buyout (LBO, MBO, MBI)",275,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-07-18,"StorageApps, Inc.",Software,United States,Stake Purchase,230,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-07-07,"Netiverse, Inc.",Information Technology,United States,Add-on Acquisition,210,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-07-27,American Memorial Life Insurance Co.,Insurance,United States,Divestiture,200,"Assurant, Inc., 28 Liberty Street, 41st Floor, New York, New York, 10005, United States, (212) 859-7000, www.assurant.com",,AIZP,,"Assurant, Inc."
2000-07-01,"Spectra Precision, Inc.",Electronics,United States,Add-on Acquisition,200,"Trimble Inc., 935 Stewart Drive, Sunnyvale, California, 94085, United States, (408) 481-8000, www.trimble.com",,TRMB,,Trimble Inc.
2000-07-14,ChannelHealth Inc.,Information Technology,United States,Divestiture,197,"Allscripts Healthcare Solutions, Inc., 222 Merchandise Mart Plaza, Suite 2024, Chicago, Illinois, 60654, United States, (800) 334-8534, www.allscripts.com",,MDRX,,"Allscripts Healthcare Solutions, Inc."
2000-07-25,Komodo Technology,Technology Hardware,United States,Add-on Acquisition,175,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-07-28,"WaferScale Integration, Inc.",Semiconductors,United States,Add-on Acquisition,68,"STMicroelectronics N.V., 39, chemin du Champ des Filles, Geneva, 1228, Switzerland, +41 22 929 29 29, www.st.com",,STM.PA,,STMicroelectronics N.V.
2000-07-01,"Nupremis, Inc.",Internet Software and Services,,"Buyout (LBO, MBO, MBI)",46,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2000-08-18,"HSB Group, Inc.",Insurance,United States,Add-on Acquisition,1200,"American International Group, Inc., 175 Water Street, New York, New York, 10038, United States, (212) 770-7000, www.aig.com",,AIG,,"American International Group, Inc."
2000-08-31,"PixStream, Inc.",Technology Hardware,Canada,Add-on Acquisition,369,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-08-01,"Jason Industries, Inc.",Manufacturing,United States,Going Private,335,"Saw Mill Capital (PE), 555 Pleasantville Road, South Building, Suite 220, Briarcliff Manor, New York, 10510, United States, (914)741-1300, www.sawmillcapital.com\nFalcon Investment Advisors LLC (PE), 21 Custom House Street, 10th Floor, Boston, Massachusetts, 02110, United States, (617)412-2700, www.falconinvestments.com",JASN,,"Jason Industries, Inc.",
2000-08-16,Trex Medical Corp.,Medical Products,United States,Add-on Acquisition,55,"Hologic, Inc., 250 Campus Drive, Marlborough, Massachusetts, 01752, United States, (508) 263-2900, www.hologic.com",,HOLX,,"Hologic, Inc."
2000-09-27,"Faconnable, S.A.S.",Apparel/Textiles,France,Add-on Acquisition,169,"Nordstrom, Inc., 1617 Sixth Avenue, Seattle, Washington, 98101, United States, (206) 628-2111, www.nordstrom.com",,JWN,,"Nordstrom, Inc."
2000-09-25,"Prolifaron, Inc.",Life Science,United States,Add-on Acquisition,41,"Alexion Pharmaceuticals, Inc., 121 Seaport Boulevard, Boston, Connecticut, 02210, United States, (203) 272-2596, www.alexion.com",,ALXN,,"Alexion Pharmaceuticals, Inc."
2000-09-05,"IPmobile, Inc.",Information Technology,United States,Add-on Acquisition,425,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-10-20,CAIS Software Solutions,Software,United States,Add-on Acquisition,170,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-10-02,"Holland Bancorp, Inc.",Financial Services,United States,Add-on Acquisition,15.2,"German American Bancorp, Inc., 711 Main Street  Box 810, Jasper, Indiana, 47546, United States, (812) 482-1314, www.germanamerican.com",,GABC,,"German American Bancorp, Inc."
2000-11-27,"Objective Systems Integrators, Inc. (OSI)",Information Technology,United States,Add-on Acquisition,665,"Agilent Technologies, Inc., 5301 Stevens Creek Boulevard, Santa Clara, California, 95051, United States, (800) 227-9770, www.agilent.com",,A,,"Agilent Technologies, Inc."
2000-11-13,"Radiata, Inc.",Technology Hardware,United States,Add-on Acquisition,295,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2000-11-20,Orthopaedic Biosystems Ltd.,Medical Products,United States,Add-on Acquisition,27.71,"Smith & Nephew plc, Building 5 Croxley Park Hatters Lane, Watford, WD18 8YE, United Kingdom, +44 19 2347 7100, www.smith-nephew.com",,SNN,,Smith & Nephew plc
2000-11-24,"Freedom Bancshares, Inc.",Financial Services,United States,Add-on Acquisition,11,"WesBanco, Inc., 1 Bank Plaza, Wheeling, West Virginia, 26003, United States, (304) 234-9000, www.wesbanco.com",,WSBC,,"WesBanco, Inc."
2000-12-31,J.P. Morgan & Co. Inc.,Financial Services,United States,Merger,36000,"JPMorgan Chase & Co., 383 Madison Avenue, New York, New York, 10017, United States, (212) 270-6000, www.jpmorganchase.com",,JPM,,JPMorgan Chase & Co.
2000-12-15,Knoll Pharmaceutical Co.,Life Science,United States,Add-on Acquisition,6900,"Abbott Laboratories, Inc., 100 Abbott Park Road, Abbott Park, Illinois, 60064, United States, (224) 667-6100, www.abbott.com",,ABT,,Abbott Laboratories
2000-12-08,Musicland Stores Corp.,Retail,United States,Add-on Acquisition,685,"Best Buy Co., Inc., 7601 Penn Ave. S., Richfield, Minnesota, 55423, United States, (612) 291-1000, www.bestbuy.com",,BBY,,"Best Buy Co., Inc."
2000-12-11,"Micro Magic, Inc.",Technology Hardware,United States,Add-on Acquisition,260,"Juniper Networks, Inc., 1133 Innovation Way, Sunnyvale, California, 94089, United States, (408) 745-2000, www.juniper.net",,JNPR,,"Juniper Networks, Inc."
2000-12-08,Ottawa Financial Corp.,Financial Services,United States,Add-on Acquisition,218,"Fifth Third Bancorp, Fifth Third Center 38 Fountain Square Plaza, Cincinnati, Ohio, 45263, United States, (800) 972-3030, www.53.com",,FITBP,,Fifth Third Bancorp
2000-12-20,Newgen Results Corp.,Internet Software and Services,United States,Add-on Acquisition,200,"TTEC Holdings, Inc., 9197 S. Peoria St., Englewood, Colorado, 80112, United States, (303) 397-8100, www.ttec.com",,TTEC,,"TTEC Holdings, Inc."
2000-12-08,Magnolia Hi-Fi,Retail,United States,Add-on Acquisition,87,"Best Buy Co., Inc., 7601 Penn Ave. S., Richfield, Minnesota, 55423, United States, (612) 291-1000, www.bestbuy.com",,BBY,,"Best Buy Co., Inc."
2000-12-04,Tri-County Bank,Financial Services,United States,Add-on Acquisition,7.19,"Ameris Bancorp., 3490 Piedmont Road NE, Atlanta, Georgia, 30305, United States, (404) 639-6500, www.amerisbank.com",,ABCB,,Ameris Bancorp
2001-01-22,Galileo Technology Ltd.,Semiconductors,Israel,Add-on Acquisition,2700,"Marvell Technology Group Ltd., Canon's Court, 22 Victoria Street, Hamilton, HM 12, Bermuda, (441) 296-6395, www.marvell.com",,MRVL,,Marvell Technology Group Ltd.
2001-01-26,"RBC Centura Banks, Inc.",Financial Services,United States,Add-on Acquisition,2300,"Royal Bank of Canada, 200 Bay Street, Toronto, Ontario, M5J 2J5, Canada, (888) 212-5533, www.rbc.com",,RY,,Royal Bank of Canada
2001-01-16,"Block Drug Company, Inc.",Life Science,United States,Add-on Acquisition,1240,"GlaxoSmithKline plc, 980 Great West Road, Brentford, TW8 9GS, United Kingdom, +44 20 8047 5000, www.gsk.com",,GSK,,GlaxoSmithKline plc
2001-01-11,"Fritz Cos., Inc.",Transportation,United States,Add-on Acquisition,450,"United Parcel Service, Inc. (UPS), 55 Glenlake Parkway, NE, Atlanta, Georgia, 30328, United States, (404) 828-6000, www.ups.com",,UPAB.DE,,"United Parcel Service, Inc."
2001-01-01,EMDERSA Generación Salta S.A.,Utilities,Argentina,Add-on Acquisition,435,"FirstEnergy Corp., 76 South Main Street, Akron, Ohio, 44308, United States, (800) 736-3402, www.firstenergycorp.com",,FE,,FirstEnergy Corp.
2001-01-17,"First International Bancorp, Inc.",Financial Services,United States,Add-on Acquisition,78,"United Parcel Service, Inc. (UPS), 55 Glenlake Parkway, NE, Atlanta, Georgia, 30328, United States, (404) 828-6000, www.ups.com",,UPAB.DE,,"United Parcel Service, Inc."
2001-01-29,Camitro Corp.,Life Science,United States,Add-on Acquisition,76.3,"ArQule, Inc., One Wall Street, Burlington, Massachusetts, 01801, United States, (781) 994-0300, www.arqule.com",,ARQL,,"ArQule, Inc."
2001-01-01,"0-In Design Automation, Inc.",Software,United States,"Buyout (LBO, MBO, MBI)",4,"Adams Street Partners (PE), One North Wacker Drive, Suite 2700, Chicago, Illinois, 60606, United States, (312)553-7890, www.adamsstreetpartners.com\nMVC Capital, Inc. (PE), www.mvccapital.com",,MVC,,"MVC Capital, Inc."
2001-02-26,"CBRE Group, Inc.",Real Estate,United States,Going Private,750,"Freeman Spogli & Co. (PE), 11100 Santa Monica Blvd Suite 1900, Los Angeles, California, 90025, United States, (310) 444-1822, www.freemanspogli.com\nBlum Capital Partners L.P. (PE), 909 Montgomery Street, San Francisco, California, 94133, United States, (415)434-1111, www.blumcapital.com",CBRE,,"CBRE Group, Inc.",
2001-02-15,Active Voice Corp.,Communications,United States,Add-on Acquisition,266,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2001-02-26,"ExiO Communications, Inc.",Software,United States,Add-on Acquisition,155,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2001-02-01,"Optranet, Inc.",Technology Hardware,United States,Add-on Acquisition,73,"Extreme Networks, Inc., 6480 Via del Oro, San Jose, California, 95119, United States, (408) 579-2800, www.extremenetworks.com",,EXTR,,"Extreme Networks, Inc."
2001-02-21,"Golden Isles Financial Holdings, Inc.",Financial Services,United States,Add-on Acquisition,25,"Ameris Bancorp., 3490 Piedmont Road NE, Atlanta, Georgia, 30305, United States, (404) 639-6500, www.amerisbank.com",,ABCB,,Ameris Bancorp
2001-03-27,ALZA Corp.,Life Science,United States,Merger,10500,"Johnson & Johnson, One Johnson & Johnson Plaza, New Brunswick, New Jersey, 08933, United States, (732) 524-0400, www.jnj.com",,JNJ,,Johnson & Johnson
2001-03-21,Sequoia Software Corp.,Software,United States,Add-on Acquisition,185,"Citrix Systems, Inc., 851 West Cypress Creek Road, Fort Lauderdale, Florida, 33309, United States, (954) 267-3000, www.citrix.com",,CTXS,,"Citrix Systems, Inc."
2001-03-12,Eaton - Vehicle Switch/Electronics Division,Automotive,United States,Divestiture,300,"Aptiv PLC, 5 Hanover Quay Grand Canal Dock, Dublin, 2, Ireland, +353 1 259 7013, www.aptiv.com",,APTV,,Aptiv PLC
2001-03-09,"Capital Holdings, Inc.",Financial Services,United States,Add-on Acquisition,260.3,"Fifth Third Bancorp, Fifth Third Center 38 Fountain Square Plaza, Cincinnati, Ohio, 45263, United States, (800) 972-3030, www.53.com",MMAC,FITBP,"MMA Capital Holdings, Inc.",Fifth Third Bancorp
2001-03-05,Mail Boxes Etc.,Transportation,United Kingdom,Add-on Acquisition,191,"United Parcel Service, Inc. (UPS), 55 Glenlake Parkway, NE, Atlanta, Georgia, 30328, United States, (404) 828-6000, www.ups.com",,UPAB.DE,,"United Parcel Service, Inc."
2001-03-02,BabyCenter LLC,Digital Media,United States,Divestiture,10,"Johnson & Johnson, One Johnson & Johnson Plaza, New Brunswick, New Jersey, 08933, United States, (732) 524-0400, www.jnj.com",,JNJ,,Johnson & Johnson
2001-03-01,"Webstacks, Inc.",Technology Hardware,United States,Add-on Acquisition,74,"Extreme Networks, Inc., 6480 Via del Oro, San Jose, California, 95119, United States, (408) 579-2800, www.extremenetworks.com",,EXTR,,"Extreme Networks, Inc."
2001-04-02,Old Kent Financial Corp.,Financial Services,United States,Add-on Acquisition,5500,"Fifth Third Bancorp, Fifth Third Center 38 Fountain Square Plaza, Cincinnati, Ohio, 45263, United States, (800) 972-3030, www.53.com",,FITBP,,Fifth Third Bancorp
2001-05-11,"Rosetta Inpharmatics, Inc.",Life Science,United States,Add-on Acquisition,620,"Merck & Co., Inc., 2000 Galloping Hill Road, Kenilworth, New Jersey, 07033, United States, (908) 423-1000, www.merck.com",,MRK.PA,,"Merck & Co., Inc."
2001-05-31,"MEDIVATORS, Inc.",Medical Products,United States,Add-on Acquisition,70,"Cantel Medical Corp., 150 Clove Road, 9th Floor, Little Falls, New Jersey, 07424, United States, (973) 890-7220, www.cantelmedical.com",,CMD,,Cantel Medical Corp.
2001-05-29,Oramir Semiconductors Equipment Ltd.,Semiconductors,Israel,Add-on Acquisition,21,"Applied Materials, Inc., 3050 Bowers Avenue, P.O. Box 58039, Santa Clara, California, 95052, United States, (408) 727-5555, www.appliedmaterials.com",,AMAT,,"Applied Materials, Inc."
2001-06-01,"T-Mobile USA, Inc.",Communications,United States,Add-on Acquisition,45000,"Deutsche Telekom AG, Friedrich-Ebert-Allee 140, Bonn, 53113, Germany, +49 228 181 88880, www.telekom.com",,DTEL.BR,,Deutsche Telekom AG
2001-06-28,"Tyson Fresh Meats, Inc.",Food,United States,Add-on Acquisition,2700,"Tyson Foods, Inc., 2200 W. Don Tyson Parkway, Springdale, Arkansas, 72762, United States, (479) 290-4000, www.tysonfoods.com",,TSN,,"Tyson Foods, Inc."
2001-06-29,"USB, Inc.",Financial Services,United States,Add-on Acquisition,217,"Fifth Third Bancorp, Fifth Third Center 38 Fountain Square Plaza, Cincinnati, Ohio, 45263, United States, (800) 972-3030, www.53.com",,FITBP,,Fifth Third Bancorp
2001-06-04,Edwards Lifesciences Corp. - U.S. Perfusion Services,Medical Products,United States,Divestiture,45,"Fresenius Medical Care AG & Co. KGaA, Else-Kröner Strasse 1, Bad Homburg, 61352, Germany, +49 6172 6090, www.freseniusmedicalcare.com",,FMS,,Fresenius Medical Care AG & Co. KGaA
2001-07-17,Mellon - Regional Franchise,Financial Services,United States,Divestiture,2100,"Citizens Financial Group, Inc., One Citizens Plaza, Providence, Rhode Island, 02903, United States, (401) 456-7000, www.citizensbank.com",,CFG,,"Citizens Financial Group, Inc."
2001-07-27,"Allegro Systems, Inc.",Information Technology,United States,Add-on Acquisition,181,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2001-07-11,"AuroraNetics, Inc.",Technology Hardware,United States,Add-on Acquisition,150,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2001-07-01,"Industrial Bancorp, Inc.",Financial Services,United States,Add-on Acquisition,91.8,"United Community Financial Corp., 275 West Federal Street, Youngstown, Ohio, 44503, United States, (330) 742-0500, www.ucfconline.com",,UCFC,,United Community Financial Corp.
2001-08-03,"The Quaker Oats Co., Inc.",Food,United States,Merger,13400,"PepsiCo, Inc., 700 Anderson Hill Road, Purchase, New York, 10577, United States, (914) 253-2000, www.pepsico.com",,PEP,,"PepsiCo, Inc."
2001-08-14,Future Shop,Retail,Canada,Add-on Acquisition,440.84,"Best Buy Co., Inc., 7601 Penn Ave. S., Richfield, Minnesota, 55423, United States, (612) 291-1000, www.bestbuy.com",,BBY,,"Best Buy Co., Inc."
2001-08-13,"Hungry Minds, Inc.",Publishing,United States,Add-on Acquisition,182.5,"John Wiley & Sons, Inc., 111 River Street, Hoboken, New Jersey, 07030, United States, (201) 748-6000, www.wiley.com",,JW-B,,"John Wiley & Sons, Inc."
2001-09-17,Tosco Corp.,Energy Services and Equipment,United States,Add-on Acquisition,7360,"ConocoPhillips, 925 North Eldridge Parkway PO Box 2197, Houston, Texas, 77079, United States, (281) 293-1000, www.conocophillips.com",,COP,,ConocoPhillips
2001-09-24,"Illuminet Holdings, Inc.",Communications,United States,Add-on Acquisition,1200,"VeriSign, Inc., 12061 Bluemont Way, Reston, Virginia, 20190, United States, (703) 948-3200, www.verisign.com",,VRSN,,"VeriSign, Inc."
2001-09-26,Huntington Bancshares -  Florida Banking Franchise,Financial Services,United States,Divestiture,705,"SunTrust Banks, Inc., 303 Peachtree Street, N.E., Atlanta, Georgia, 30308, United States, (800) 786-8787, www.suntrust.com",,STI,,"SunTrust Banks, Inc."
